,pca,pca_umap,pca_tsne
PABPC4L,0.99999998028213,0.858839896982937,0.309292674041117
ZFP42,0.999999996167531,0.148000433409527,0.232339852716259
OR3A1,0.99999999760414,0.237149097719932,0.240598807187555
OR1E1,0.999999993573725,0.0451717598199204,0.0498302420714489
MYH4,0.999999987565059,0.0068271131382352,0.0048134767497896
MYH1,0.999999994996381,0.289861568244153,0.238765361242273
KCNJ18,0.999999992263111,0.0981412811940805,0.99999995680348
TBC1D3K,0.999999982131075,0.304056231651896,0.267144341174007
TBC1D3L,0.999999991467781,0.999999957917181,0.851252260112658
KRTAP3-3,0.999999987135503,0.249941269039938,0.0852977844835342
KRTAP1-3,0.999999991827858,0.210787859371954,0.224830971672342
KRTAP2-1,0.99999999571073,0.053140874726329,0.0730329753429365
KRTAP2-2,0.999999994494242,0.00394577185024,0.0101418963564253
KRTAP9-2,0.999999990993018,0.0519307235476779,0.0364668245002603
KRTAP9-4,0.999999981127137,0.0364155432883448,0.0208347845493429
NACA2,0.99999998967924,0.705104352474557,0.473484231998289
REG3G,0.999999991542482,0.273061917732931,0.209005396312879
REG1A,0.999999976603553,0.480996535069887,0.18662154551016
REG3A,0.999999986212307,0.660654976312283,0.272573014935447
PLGLB1,0.999999988496872,0.175265622411928,0.182293764091375
TEX37,0.999999994851712,0.0385463200708881,0.424320063671136
TRIM43B,0.999999993481368,0.0784074512552763,0.0444301296309111
AC112229.3,0.999999987376229,0.0075725228621596,0.127330686816903
C1QL2,0.999999995223173,0.0259288808918348,0.0272077705886032
TEX51,0.999999991849696,0.415379736478812,0.208111465397931
POTEI,0.999999994531078,0.298622949852828,0.20819627494189
CFC1,0.99999999003006,0.235523283163946,0.149954909533592
POTEJ,0.999999991067951,0.025662446191444,0.0325339257342888
POTEE,0.999999989463056,0.724811670250055,0.329107539224542
TNP1,0.999999997305861,0.101204137243848,0.253466974132263
SCYGR3,0.999999993189011,0.0675914143096771,0.0692863670838843
SCYGR6,0.999999994690424,0.0218304335993531,0.0846093031823883
SCYGR8,0.999999994652836,0.0699882519168922,0.103263325737787
NPIPA5,0.999999993800657,0.132732001117289,0.14059611080839
AC138969.1,0.999999969184665,0.165451651792597,0.55273586533332
ACSM2A,0.999999988486218,0.0146876660657842,0.0061618627625475
NPIPB3,0.99999997693064,0.298840009094403,0.102779829908675
NPIPB5,0.999999990171168,0.0026284443802983,0.0129376780081173
EIF3CL,0.999999991471573,0.553303971281873,0.925860692895414
BOLA2,0.999999994809124,0.0081628163108282,0.0008265665614734
BOLA2-SMG1P6,0.999999994809124,0.0081628163108282,0.0008265665614734
SLX1B,0.99999998759026,0.162492935223637,0.104119814495156
SULT1A4,0.999999981608811,0.412287323704937,0.101348216703705
NPIPB12,0.99999999634224,0.203674806961942,0.375632043304395
BOLA2B,0.999999995220846,0.111711472356493,0.0773259241603908
SLX1A,0.999999995220846,0.111711472356493,0.0773259241603908
IRX6,0.999999984881726,0.002343822777292,0.0332030668756525
CLEC18C,0.999999987816517,0.0754732546062916,0.0185441262022985
DEFA6,0.999999991884113,0.244744541062238,0.235413140244634
DEFA3,0.999999975650946,0.31421414043709,0.33297628203994
DEFA5,0.999999987213715,0.309921371735196,0.107721802152095
DEFB106B,0.999999987225992,0.0053771420643081,0.0320573518123507
DEFB107B,0.999999988314564,0.174984909788102,0.516822796498622
AC134684.8,0.999999991973539,0.282881246881918,0.116902894960571
DEFB104A,0.99999999055041,0.0734436559238781,0.0363321177624532
SPAG11A,0.999999989454906,0.401849195548345,0.385956807635964
DEFB136,0.999999995826502,0.0304198317373244,0.0341454681141641
DEFB134,0.999999992517342,0.130705332230817,0.159071049214495
USP17L2,0.999999988680025,0.003657373503357,0.003813542151932
TCIM,0.99999998905783,0.280585133446534,0.246391751777042
FABP9,0.999999989846396,0.0520164442031084,0.0556025298535357
DCAF4L2,0.999999987162052,0.349548767247883,0.206102699754209
MBD3L2B,0.999999985424743,0.0724183587208827,0.0458993553356587
MBD3L2,0.999999977759684,0.0322923185077528,0.0335976914523385
OR1M1,0.999999992750155,0.0313346111851665,0.203278166153441
OR10H2,0.999999989775625,0.0392501737814133,0.117812161068335
PSG7,0.999999986269066,0.255152298250701,0.232940629491312
VN1R4,0.999999981049063,0.238535981948474,0.346863772081641
IFNA21,0.999999993397022,0.112693493040554,0.0403113211140849
IFNA4,0.999999982295248,0.0055793379504211,0.0060451668993443
IZUMO3,0.999999986599863,0.28907613353164,0.277851020939052
TAF1L,0.999999991424588,0.0748401000672242,0.0314909650989594
TMEM215,0.999999997561415,0.0227584756466726,0.0546280879362145
FOXD4L6,0.999999984733073,0.340973628493499,0.32644953901084
SPATA31A6,0.999999977272094,0.187778717254141,0.272678176195195
CNTNAP3C,0.999999985920987,0.59040626403263,0.757497034662361
AL391987.2,0.999999988884828,0.11505594939518,0.0548336469604424
AL391987.1,0.999999988884828,0.11505594939518,0.0548336469604424
FOXD4L5,0.999999978415676,0.999999952676972,0.706529055301409
FOXD4L4,0.999999992435416,0.0623043327025626,0.0445342232359675
SPATA31A3,0.999999990615508,0.999999974822241,0.812094027864264
CBWD3,0.999999988385295,0.139687934267348,0.127174291323258
OR13C4,0.999999994561302,0.0454543321688675,0.0344737751724642
OR13C8,0.999999985509119,0.278324363890328,0.195461748919782
OR13C5,0.99999997882208,0.0632356790874353,0.0704823817108604
OR13C9,0.999999993201343,0.0049618510406275,0.0954261165564663
OR2K2,0.999999984148374,0.0067314365768338,0.171952970659965
OR1J4,0.999999992575031,0.0687517729930004,0.0338392442708571
OR1N2,0.99999999445467,0.0091300123878711,0.0489378082279982
OR1Q1,0.999999983853052,0.0427170893983452,0.0385917543103096
OR1B1,0.999999990888765,0.101485714781199,0.373846199784873
OR1L3,0.999999975347082,0.143302806558447,0.781332799099561
OR1L4,0.99999997751244,0.0962343985802912,0.255768117881766
OR1L6,0.999999991845573,0.0487508769647968,0.0160916099787059
OR5C1,0.999999995203437,0.573718709106867,0.202383860561382
GLT6D1,0.999999995981755,0.0747274733565305,0.142730641687837
LCN9,0.999999978972149,0.0137118199869362,0.137644990500286
TUBA3C,0.999999997088388,0.0856861630408156,0.150531530435457
MEDAG,0.99999999520607,0.0595310334757034,0.0083957954241089
PRR20A,0.999999973669345,0.280461822237769,0.151074015363465
PRR20C,0.999999973669345,0.280461822237769,0.151074015363465
AL445989.1,0.999999987135503,0.249941269039938,0.0852977844835342
RNF113B,0.999999973660957,0.212238329386222,0.343966940205046
POTEG,0.999999979844797,0.331115693419015,0.0811106775893712
OR4K5,0.99999998905783,0.280585133446534,0.246391751777042
OR4K14,0.999999997604385,0.0070532450299729,0.0362997117201253
OR4K17,0.99999999561747,0.0352188698415499,0.0347965940129869
OR11H6,0.999999987129211,0.0410446885995711,0.0742025759465135
NKX2-8,0.999999993125292,0.9999999803891,0.999999956455591
SERPINA3,0.999999996260086,0.327338239556268,0.334231593645597
IRX2,0.999999995781119,0.0127978782100596,0.0362864728572029
TAF11L2,0.999999989797969,0.312023250243993,0.302972872924404
TAF11L3,0.999999968690046,0.347420323665062,0.0632117906726508
TAF11L11,0.999999995734155,0.268793667681828,0.283293972144455
TAF11L12,0.999999995641018,0.0452901475055768,0.0009857316357788
TAF11L13,0.999999990850776,0.197465460634204,0.0415347881537828
HSPB3,0.999999995098854,0.138434543505203,0.168585110267695
ACTBL2,0.9999999959837,0.0101865736448245,0.0327159464138175
SERF1B,0.999999982728691,0.0276234488021213,0.0313515018667084
SERF1A,0.999999985379538,0.101279995865788,0.212549792446316
CARTPT,0.99999999557352,0.0846869871265793,0.077179574722708
FTMT,0.999999979329931,0.293190720144309,0.270683745039326
