,pca,pca_umap,pca_tsne
FAM151A,0.999999987410022,0.0616906413334322,0.164682692267837
AL590093.1,0.999999988576796,0.047353602747485,0.122994453595078
AC096536.3,0.999999996835574,0.359614633113162,0.357124949124365
BSND,0.999999959538651,0.355232907005589,0.49841058984254
AL603840.1,0.999999996617012,0.120560067210331,0.0569159894640584
C8A,0.999999988952157,0.0114058225303234,0.123356794846629
C8B,0.999999977058245,0.398875180333458,0.30556115386247
TACSTD2,0.999999992524235,0.0132393472487771,0.0047361839569711
AL136985.1,0.999999993900341,0.0807482637346894,0.211379147563789
LINC02777,0.999999992575071,0.105553282970745,0.0515365030100162
AC093425.1,0.999999993877452,0.0883137859247621,0.137859069126618
AL035416.1,0.999999982691759,0.57755650097552,0.440266053620524
CYP2J2,0.999999994896318,0.0591786333580777,0.0163803434500108
LINC01748,0.999999981034415,0.015580980807786,0.0130864752498345
AC099792.1,0.99999998115339,0.348990235227885,0.0842393861692343
NFIA-AS2,0.999999993294631,0.100600250643457,0.0445178947682907
AC099791.2,0.999999995232487,0.018695590554255,0.105733509074375
ANGPTL3,0.999999986523252,0.315541560966969,0.0531731514963417
LINC01739,0.999999974078895,0.30632263318932,0.21865028547308
FOXD3-AS1,0.999999991217968,0.183594390774317,0.117193088126322
ROR1-AS1,0.999999994684548,0.0134618345813968,0.0334913537823352
UBE2U,0.999999984920523,0.41716621626675,0.479742370848283
AL357078.2,0.999999966887013,0.113390162920133,0.0691511438080892
AC119800.1,0.999999958232235,0.342500113527049,0.0325637683043516
AL513493.1,0.999999988519455,0.0627169847082078,0.171176849746845
AL590783.1,0.999999992209405,0.502027360264664,0.51474656165851
TCTEX1D1,0.999999971698277,0.281269057848259,0.239516745596024
AL133320.2,0.999999976426278,0.517602194394459,0.382475597391804
GNG12,0.999999979292112,0.193840805783904,0.0197828549169789
AL033530.1,0.999999993198927,0.0186177680031809,0.0120412922964663
AL359894.1,0.99999998115339,0.331772496085551,0.866650189422478
AL158840.1,0.999999988247436,0.235689016116517,0.0316529363184348
AL353771.1,0.99999999265406,0.0273027346206919,0.0142027565867412
